task,fold,pos,neg,auroc,auprc,precision,recall,f1,mean_entropy
immune,0,3,5,0.467,0.443,0.333,0.333,0.333,0.493
immune,1,3,6,0.778,0.7,0.5,0.667,0.571,0.686
immune,2,3,6,0.556,0.443,0.333,0.333,0.333,0.644
immune,3,3,6,0.778,0.589,0.667,0.667,0.667,0.682
immune,4,2,7,0.5,0.31,0.0,0.0,0.0,0.733
chronic,0,2,8,0.5,0.292,0.0,0.0,0.0,0.769
chronic,1,2,9,0.667,0.325,0.0,0.0,0.0,0.748
chronic,2,2,9,0.5,0.25,0.0,0.0,0.0,0.698
chronic,3,2,9,0.944,0.833,0.667,1.0,0.8,0.728
chronic,4,2,9,0.667,0.393,0.0,0.0,0.0,0.726
stage3,0,9,6,0.407,0.667,0.5,0.556,0.526,0.838
stage3,1,10,4,0.375,0.702,0.5,0.2,0.286,0.875
stage3,2,10,4,0.425,0.745,0.571,0.4,0.471,0.747
stage3,3,10,3,0.467,0.753,0.833,0.5,0.625,0.95
stage3,4,6,8,0.604,0.604,0.455,0.833,0.588,0.67
