repeat,seed,fold,task,pos,neg,AUROC,AUPRC,F1,Precision,Recall
0,42,0,immune,3,6,0.833,0.756,0.5,1.0,0.333
0,42,0,chronic,2,9,0.5,0.25,0.333,0.25,0.5
0,42,0,stage3,8,2,0.25,0.789,0.75,0.75,0.75
0,42,1,immune,3,6,0.944,0.917,0.75,0.6,1.0
0,42,1,chronic,2,9,0.556,0.292,0.0,0.0,0.0
0,42,1,stage3,8,3,0.875,0.953,0.941,0.889,1.0
0,42,2,immune,3,6,0.278,0.361,0.0,0.0,0.0
0,42,2,chronic,2,9,1.0,1.0,0.667,1.0,0.5
0,42,2,stage3,7,4,0.5,0.633,0.824,0.7,1.0
0,42,3,immune,3,6,0.778,0.589,0.667,0.667,0.667
0,42,3,chronic,2,9,0.333,0.2,0.0,0.0,0.0
0,42,3,stage3,5,5,0.48,0.512,0.615,0.5,0.8
0,42,4,immune,2,6,0.5,0.333,0.333,0.25,0.5
0,42,4,chronic,2,8,0.688,0.417,0.333,0.25,0.5
0,42,4,stage3,6,2,0.917,0.976,0.923,0.857,1.0
1,43,0,immune,3,6,0.889,0.867,0.667,0.667,0.667
1,43,0,chronic,2,9,0.722,0.417,0.333,0.25,0.5
1,43,0,stage3,7,4,0.571,0.827,0.667,0.8,0.571
1,43,1,immune,3,6,0.778,0.81,0.571,0.5,0.667
1,43,1,chronic,2,9,0.611,0.611,0.0,0.0,0.0
1,43,1,stage3,7,3,0.381,0.644,0.364,0.5,0.286
1,43,2,immune,3,6,0.722,0.792,0.8,1.0,0.667
1,43,2,chronic,2,9,0.611,0.375,0.0,0.0,0.0
1,43,2,stage3,7,4,0.571,0.668,0.875,0.778,1.0
1,43,3,immune,3,6,0.667,0.5,0.571,0.5,0.667
1,43,3,chronic,2,9,0.778,0.45,0.0,0.0,0.0
1,43,3,stage3,6,3,0.722,0.877,0.857,0.75,1.0
1,43,4,immune,2,6,0.667,0.45,0.5,0.5,0.5
1,43,4,chronic,2,8,0.812,0.5,0.5,0.5,0.5
1,43,4,stage3,7,2,1.0,1.0,0.933,0.875,1.0
