tau,coverage,n_allow,mean_err_allow,qwk_mean,fibrosis,atrophy,inflammation
0.3,0.115,7,1.286,-0.047,0.267,-0.064,-0.343
0.35,0.279,17,0.784,0.487,0.62,0.399,0.443
0.4,0.656,40,0.85,0.426,0.42,0.321,0.537
0.45,0.918,56,0.845,0.397,0.403,0.264,0.523
0.5,1.0,61,0.842,0.373,0.37,0.273,0.476
0.55,1.0,61,0.842,0.373,0.37,0.273,0.476
0.6,1.0,61,0.842,0.373,0.37,0.273,0.476
0.65,1.0,61,0.842,0.373,0.37,0.273,0.476
0.7,1.0,61,0.842,0.373,0.37,0.273,0.476
0.75,1.0,61,0.842,0.373,0.37,0.273,0.476
0.8,1.0,61,0.842,0.373,0.37,0.273,0.476
0.85,1.0,61,0.842,0.373,0.37,0.273,0.476
