epoch,loss,Fusion,Head,HE_Proj,HE_Attn,HE_Z,PAS_Proj,PAS_Attn,PAS_Z,MT_Proj,MT_Attn,MT_Z
1,1.8274780054177557,0.0021838035889751545,1.3814881124666758,0.3891238471759217,0.0002440248961517812,0.1722208340652287,0.38670276251754593,0.00022437547197893894,0.17463312916723744,0.43161960651299786,0.0002969702971833093,0.1959485802134233
2,1.7946666851639748,0.002511390350459156,1.3644116627318519,0.3860880896182997,0.00036269002631732813,0.1721383738996727,0.38307200452046736,0.0002558096373377339,0.17472337525604026,0.4222389655187726,0.00032918143769425763,0.192679686671389
3,1.7708397800368922,0.003146672910588677,1.3580775154488427,0.4170550967433623,0.0006633956571541992,0.17626920275922334,0.38595234842172693,0.00028625230983639734,0.16970077702509506,0.42100259102880955,0.00044041163898457725,0.1894587868425463
4,1.7524485045245715,0.005924237273705201,1.3579180091619492,0.4572022496057408,0.0012776931299153407,0.18514785742653267,0.4018541844561696,0.0004506703546180039,0.16880962625145912,0.4288674567693046,0.000656385512667969,0.18711108341813087
5,1.7244717154119695,0.011542653578024848,1.3454995517219817,0.5111462773223009,0.0018789715177263133,0.19797114908163035,0.3873352854113494,0.0005481141547534207,0.15589774632826447,0.4456516912739192,0.001020773142564784,0.18414505717477628
6,1.699909997837884,0.01970370767438518,1.3380580459322249,0.5906129684299231,0.003271973086676943,0.2204762503637799,0.3742805527789252,0.0006563928357406569,0.14654269202479295,0.42591687318469795,0.0013234135863707966,0.17334052102108086
7,1.6562319999294621,0.035358063600142486,1.3359664210251398,0.7009278889745474,0.006067579142836621,0.25720150083569543,0.33396599295416046,0.0008273893715470747,0.12928613175504974,0.38853093502776964,0.0017614072139622294,0.1578529282872166
8,1.5960659650819642,0.0701865446384805,1.3508601082222802,0.9743583468454224,0.012664465449883469,0.34293512254953384,0.22886071414021508,0.0007250324060805724,0.08660255462330367,0.2755605556469943,0.0017155350853629767,0.1100191915673869
9,1.5340234067823206,0.08063890693405742,1.3824606920991624,1.2120459063776903,0.019722275404741856,0.417169138922223,0.12098839739337564,0.00043753959781968533,0.045752326192866476,0.16699326916464738,0.0010905130153722503,0.06643142611054438
10,1.4753895040069307,0.05778015608770407,1.3681373127869196,1.2838856647057193,0.03524182645820214,0.4380434723570943,0.09205311832816473,0.00044431900963510477,0.034884718870411495,0.131078636739403,0.0009496945156440363,0.05198139865283987
11,1.4440002632992608,0.0372769339774095,1.4007429885012763,1.391282613256148,0.05244436993546385,0.4667047326053892,0.060904123654056876,0.00031659558525071977,0.022910973913634995,0.1014253774275338,0.000674444732453594,0.039201894600410014
12,1.3767493867448397,0.029697329421261593,1.3885473906993866,1.368189753698451,0.05615414328141404,0.45675720859851154,0.04706969495912615,0.00019339118253875704,0.017180913107170324,0.08620963878222808,0.0006228084212125395,0.03296462126724821
13,1.3358810280582734,0.02383569737048674,1.3881191930600576,1.3952044158109598,0.07715778248218287,0.4605544550078256,0.04474212233409552,0.0001760969278166158,0.016238360253087843,0.0802792483840936,0.00043713823411703094,0.029769919141212346
14,1.3048785265002931,0.018756197598122526,1.3798617337431227,1.4388965341661657,0.10255264595616609,0.4642744351710592,0.04230690499285369,0.0001460533586704774,0.015094525575737603,0.07485602531856525,0.0005326629892335534,0.02797409816308313
15,1.2331228886864014,0.015565646348477458,1.3410488303218568,1.376144782773086,0.12153382371512375,0.4413375183939934,0.041975560410979336,0.0003000523454090853,0.015149021564866416,0.07006069183262298,0.00046898650384719076,0.02563765810633153
16,1.1807445202554976,0.014923409000662755,1.315563604235649,1.3760122055453914,0.14739307480964012,0.4381957775247948,0.04433002399413714,0.00017599339869483238,0.015294697931884522,0.06753758521517739,0.00038594495655226116,0.023964638567122165
17,1.139091989557658,0.012916190804909482,1.3397751705987113,1.3794905303844385,0.18523802914257562,0.42666201745825155,0.042884239893672724,0.0002185322425053268,0.015001528705137648,0.06463515823582254,0.00041085993681885417,0.022677143235991286
18,1.0969249941408634,0.011293870572574503,1.347818594958101,1.3877064457961492,0.20940994162810966,0.41749382338353563,0.0434607271038528,0.00018128136579775855,0.014679310284139189,0.06179127965931132,0.0005421468837231,0.02158069561560946
19,1.0630993377417326,0.010506679221699804,1.3339218688862664,1.4159583199237074,0.232449250728158,0.4174431993493012,0.04282855541636569,0.00024225647043099992,0.015077536036967234,0.05916320973977106,0.0004094249642199494,0.02035673531476537
20,1.0246097724884748,0.010064501045105447,1.2934009081551008,1.384090930223465,0.22149568281435808,0.4085779953747988,0.043461543279201056,0.00023129307240310482,0.014669082128031212,0.057812135379728194,0.00039406620849799116,0.019522162280216953
21,1.0041367930493184,0.010833606867890921,1.301681898534298,1.404611958456891,0.22608463547658175,0.40758527256548405,0.042607835757995156,0.0004167826293317895,0.014918073699975918,0.05562524820964297,0.0005090961518884488,0.018711125718872217
22,0.9488961085943239,0.009721900915272792,1.258286636854921,1.3228131218680315,0.23227935515543713,0.3839354624173471,0.040594872328386246,0.00032202658241788285,0.013688366514023593,0.05526619121922392,0.00043844055552085974,0.018650100802460656
23,0.9102848644501397,0.009231699425819377,1.244912391262395,1.366018651851586,0.2586635884529512,0.3862601553222963,0.040622413006661064,0.0003036883445588501,0.013801118748753132,0.052295228354004006,0.00034685005918382624,0.017920720466560982
24,0.8768862694767969,0.00882974904990468,1.2296516671776772,1.334177346101829,0.2528640622040257,0.366702123145972,0.040547054452222904,0.0004504213459069563,0.013548505328279654,0.05288522213407175,0.0006048584007401254,0.01772237033021286
25,0.8586443227582744,0.007923088846447561,1.1941595215882574,1.3395415752061777,0.24279389513789543,0.37142092268913984,0.036596016122660203,0.0006531952686624923,0.012441163611323905,0.04881892809459844,0.0007003754772309126,0.016362927821059463
26,0.8450953448191285,0.008944021443897197,1.198002703487873,1.343618678195136,0.238281407609715,0.36629827560058664,0.038436970652713044,0.0005692036071808713,0.012627155426473888,0.04995563157886603,0.0005693462679811237,0.01665191380449674
27,0.8065186409013612,0.008593639991512905,1.1444931168641364,1.3248256599264485,0.23528455001568155,0.35819475911557674,0.0365987543232872,0.0006053307885979718,0.012444212444409328,0.04687180960315475,0.0006185600088873652,0.015735220239597374
28,0.7756418854530368,0.006620192099879725,1.1477936868156706,1.2980283424258232,0.256108104883294,0.34399040203009335,0.03209927028469143,0.0002708274587795196,0.010803310213045083,0.04769936788495345,0.0006688862390750014,0.015685521256776674
29,0.7410945773922971,0.007205319992895706,1.072107620537281,1.2721391282975674,0.23440741122301137,0.33766107726842165,0.03135832531240469,0.0006697846093654139,0.010731462304517794,0.04938002300039963,0.0006324837272726162,0.016327202690133293
30,0.7176340928833399,0.007583498156593903,1.0610902485038554,1.2643828503787518,0.2208101191957082,0.3339306652279837,0.031588285005584894,0.0004923048107668494,0.010513958350462158,0.04703221699306986,0.0007796008909036597,0.015655082162944773
31,0.7176384736916849,0.005772069749127695,1.0411158629826136,1.2874222328620297,0.22795853254917478,0.33479785320482086,0.027288665183212806,0.0004246755903076454,0.009212361592549964,0.04651063165117973,0.0011100338060475881,0.015556809606177271
32,0.6819449633892093,0.005022745822576066,0.9998715743422508,1.255716258926051,0.21689477920465702,0.3180795858747193,0.024662735453083378,0.0006837881854287227,0.008309382141045976,0.04499600389957387,0.0008121705297073742,0.014937153173126003
33,0.6438824458579931,0.009921854306639943,0.9748665440295424,1.1949393690696783,0.19631972423355495,0.30948066165936844,0.03385457390634526,0.0010215325003619974,0.01095369630573779,0.04396602818746942,0.0007089290698394686,0.014582458643189966
34,0.627383846190891,0.007128040901112139,0.9516242111900023,1.1884356795677118,0.20071439052532827,0.30337839972759995,0.030066239449037573,0.0005315623936579884,0.009759069726507212,0.04215913781721221,0.000915142931164427,0.013835132780448995
35,0.6160289511483695,0.00586320812074551,0.8846314671848502,1.1919059199946267,0.18852143728041224,0.29545245439346346,0.02488788079036957,0.0008358774138709382,0.008203563323799503,0.04188257820403253,0.0008076145586378861,0.013807667053738117
36,0.6014101654291153,0.00591370284671809,0.8684673540826354,1.2271492912300996,0.20551489291912212,0.30379405950329136,0.02428286232913836,0.0006806037380329144,0.008115747593495013,0.04038993401257228,0.0007918997590887449,0.013257090626934444
37,0.5717894445572581,0.004513065455284959,0.7823859147195306,1.0872868645404066,0.15140000946952828,0.28262960059302195,0.021627446070332162,0.0007771105200069835,0.0072806069347279845,0.04105191143077848,0.0004947826952300513,0.013322622440909981
38,0.5432250421893384,0.00594548615604903,0.7551089639642409,1.0762361687208926,0.15463897748850286,0.2749701250078423,0.024085600239881648,0.000725252028441251,0.007884992338404118,0.03775517592945172,0.0008253891061272357,0.01224667936216812
39,0.5198737250507942,0.008844370198793123,0.7632583387728248,1.0801003319876534,0.1692122739872762,0.2673184495153172,0.030268314977937343,0.0007277284879307899,0.009768243628449065,0.037545767125996984,0.0006617296851612053,0.012361295783339952
40,0.5097037686168083,0.006876259854055077,0.6732526609141912,1.0506131702235766,0.15201206182661867,0.26130540748792036,0.025031464762702984,0.00064464971457312,0.00823038929222873,0.037751915583157825,0.001099410942599783,0.012448957047427354
41,0.5087245949544013,0.005804506608585923,0.7155447048800332,1.0791355334222317,0.1520343238454578,0.26488865432994707,0.020621731358135418,0.0005042165128494551,0.00671020929426699,0.03695326322768518,0.000753164441379057,0.011870952839558413
42,0.49066930330757585,0.006746098039522102,0.6587824349158576,1.071792277374438,0.1520894502921562,0.25937250948378016,0.022995202164435926,0.0005170551211881909,0.007412632589486228,0.036892942741815204,0.0010131582078968168,0.011784432390503039
43,0.4744049778341183,0.007904170715846703,0.6444750147472534,1.0247181228228979,0.1396096095642341,0.2554110321881516,0.02677345485985175,0.0005864217021991992,0.008640389414202738,0.03454419371342153,0.000855791973018581,0.010963736231100743
